station_name,line,borough,segment,unique_key,station_key,station_key_split,line_designators_str
Times Square-42 St,N,M,Broadway-60 St,NTimes Sq-42 StBroadway-60 St,Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,N|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,N_Q_R
Times Square-42 St,Q,M,Broadway-60 St,QTimes Sq-42 StBroadway-60 St,Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,Q|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,N_Q_R
Times Square-42 St,R,M,Broadway-60 St,RTimes Sq-42 StBroadway-60 St,Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,R|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,N_Q_R
Lexington Av-59 St,N,M,Broadway-60 St,NLexington Av-59 StBroadway-60 St,Lexington_Av_59_St|N_W_R_4_5_6,N|Lexington_Av_59_St|N_W_R_4_5_6,N_Q_R
Lexington Av-59 St,Q,M,Broadway-60 St,QLexington Av-59 StBroadway-60 St,Lexington_Av_59_St|N_W_R_4_5_6,Q|Lexington_Av_59_St|N_W_R_4_5_6,N_Q_R
Lexington Av-59 St,R,M,Broadway-60 St,RLexington Av-59 StBroadway-60 St,Lexington_Av_59_St|N_W_R_4_5_6,R|Lexington_Av_59_St|N_W_R_4_5_6,N_Q_R
Fulton St,J,M,Nassau St,JFulton StNassau St,Fulton_St|A_C_J_Z_2_3_4_5,J|Fulton_St|A_C_J_Z_2_3_4_5,J_Z
Fulton St,Z,M,Nassau St,ZFulton StNassau St,Fulton_St|A_C_J_Z_2_3_4_5,Z|Fulton_St|A_C_J_Z_2_3_4_5,J_Z
Chambers St,J,M,Nassau St,JChambers StNassau St,Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,J|Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,J_Z
Chambers St,Z,M,Nassau St,ZChambers StNassau St,Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,Z|Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,J_Z
Canal St,J,M,Nassau St,JCanal StNassau St,Canal_St|J_N_Q_R_W_Z_6,J|Canal_St|J_N_Q_R_W_Z_6,J_Z
Canal St,Z,M,Nassau St,ZCanal StNassau St,Canal_St|J_N_Q_R_W_Z_6,Z|Canal_St|J_N_Q_R_W_Z_6,J_Z
Essex St,J,M,Nassau St,JEssex StNassau St,Delancey_St_Essex_St|F_J_M_Z,J|Delancey_St_Essex_St|F_J_M_Z,J_M_Z
Essex St,M,M,Nassau St,MEssex StNassau St,Delancey_St_Essex_St|F_J_M_Z,M|Delancey_St_Essex_St|F_J_M_Z,J_M_Z
Essex St,Z,M,Nassau St,ZEssex StNassau St,Delancey_St_Essex_St|F_J_M_Z,Z|Delancey_St_Essex_St|F_J_M_Z,J_M_Z
8 Av,L,M,14 St,L8 Av14 St,14_St_8_Av|A_C_E_L,L|14_St_8_Av|A_C_E_L,L
6 Av,L,M,14 St,L6 Av14 St,14_St_6_Av|F_M_1_2_3_L,L|14_St_6_Av|F_M_1_2_3_L,L
Union Square,L,M,14 St,LUnion Square14 St,14_St_Union_Sq|L_N_Q_R_W_4_5_6,L|14_St_Union_Sq|L_N_Q_R_W_4_5_6,L
Delancey St,F,M,6 Av,FDelancey St6 Av,Delancey_St_Essex_St|F_J_M_Z,F|Delancey_St_Essex_St|F_J_M_Z,F
Broadway-Lafayette St,B,M,6 Av,BBroadway-Lafayette St6 Av,Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,B|Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,B_D_F_M
Broadway-Lafayette St,D,M,6 Av,DBroadway-Lafayette St6 Av,Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,D|Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,B_D_F_M
Broadway-Lafayette St,F,M,6 Av,FBroadway-Lafayette St6 Av,Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,F|Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,B_D_F_M
Broadway-Lafayette St,M,M,6 Av,MBroadway-Lafayette St6 Av,Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,M|Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,B_D_F_M
