borough,closing,opening,station,transfer_segement,transfer_station_name,segment,station_name,line_designators,full_station_name,line,annual_ridership,fiscal_year,student_to_total,annual_ridership_student_adj
M,,1918-01-05,23 St,,,Broadway-60 St,23 St,"['N', 'R']","23 St (N,R)",N,3947975.0,1997,1.0637468361812454,4199645.915572653
M,,1918-01-05,23 St,,,Broadway-60 St,23 St,"['N', 'R']","23 St (N,R)",R,3947975.0,1997,1.0637468361812454,4199645.915572653
M,,1918-01-05,28 St,,,Broadway-60 St,28 St,"['N', 'R']","28 St (N,R)",N,2399380.0,1997,1.0637468361812454,2552332.883796557
M,,1918-01-05,28 St,,,Broadway-60 St,28 St,"['N', 'R']","28 St (N,R)",R,2399380.0,1997,1.0637468361812454,2552332.883796557
M,,1919-07-10,49 St,,,Broadway-60 St,49 St,"['N', 'Q', 'R']","49 St (N,Q,R)",N,4754875.0,1997,1.0637468361812454,5057983.237687299
M,,1919-07-10,49 St,,,Broadway-60 St,49 St,"['N', 'Q', 'R']","49 St (N,Q,R)",Q,4754875.0,1997,1.0637468361812454,5057983.237687299
M,,1919-07-10,49 St,,,Broadway-60 St,49 St,"['N', 'Q', 'R']","49 St (N,Q,R)",R,4754875.0,1997,1.0637468361812454,5057983.237687299
M,,1919-07-10,57 St-7 Av,,,Broadway-60 St,57 St-7 Av,"['N', 'Q', 'R']","57 St-7 Av (N,Q,R)",N,5556159.0,1997,1.0637468361812454,5910346.557569953
M,,1919-07-10,57 St-7 Av,,,Broadway-60 St,57 St-7 Av,"['N', 'Q', 'R']","57 St-7 Av (N,Q,R)",Q,5556159.0,1997,1.0637468361812454,5910346.557569953
M,,1919-07-10,57 St-7 Av,,,Broadway-60 St,57 St-7 Av,"['N', 'Q', 'R']","57 St-7 Av (N,Q,R)",R,5556159.0,1997,1.0637468361812454,5910346.557569953
M,,1919-09-01,5 Av-59 St,,,Broadway-60 St,5 Av-59 St,"['N', 'Q', 'R']","5 Av-59 St (N,Q,R)",N,3204499.0,1997,1.0637468361812454,3408775.672795965
M,,1919-09-01,5 Av-59 St,,,Broadway-60 St,5 Av-59 St,"['N', 'Q', 'R']","5 Av-59 St (N,Q,R)",Q,3204499.0,1997,1.0637468361812454,3408775.672795965
