Borough,Station,Line,Opening,Closing,Comments,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
,Lenox Ave Line TOTAL,Lenox Ave Line,,,,15151794,15463712,16772700,16140623,16116362,15371512,13985831,14073166,13880042,13923304,12750363,12207607,11261376,10300677,9709585,8918542,8083597,7453319,7325882,7425584,6966976,5499830,5424181,6256747,5988003,6177313,6160186,6606643,6856273,7023443,4782053,6270233,7173561,7228595,7517824,7701552,7822060,8122593
MA,South Ferry,Lexington Ave Line (CBD),7/10/1905,,See Broadway/7 Av Line (CBD): Whitehall St-South Ferry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Bowling Green,Lexington Ave Line (CBD),7/10/1905,,,6275840,6233900,6213435,6265686,6581855,6413919,6295772,6878988,7475045,7826016,7660633,7403474,6805779,6254493,5931380,5696276,5601217,5729007,5961694,6455050,6431097,6819868,6733798,6698264,6783104,7137088,7792737,7895461,7363744,6608792,5738701,5074868,4955076,5061507,5048339,4898365,5038955,5349969
MA,Wall St,Lexington Ave Line (CBD),6/12/1905,,,8914748,8825788,8655781,8036743,8206067,8303888,8369106,9332391,10308712,11039343,9281392,8189086,7623573,7146405,6767443,6459842,6247210,6368448,6380422,6511296,6248713,6465011,6222806,6230103,5990003,6120840,6618967,6861761,6721761,6020130,5295398,4660593,4547294,4681603,4769971,4602964,4705062,4837739
MA,Fulton St,Lexington Ave Line (CBD),1/16/1905,,See Manhattan CBD Transfer: Fulton St/Bway-Nassau St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,City Hall,Lexington Ave Line (CBD),10/27/1904,12/31/1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Brooklyn Bridge-City Hall,Lexington Ave Line (CBD),10/27/1904,,See Manhattan CBD Transfer: Chambers St/Bklyn Bridge-City Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Worth St,Lexington Ave Line (CBD),10/27/1904,9/1/1962,,2259384,2358474,1625380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Canal St,Lexington Ave Line (CBD),10/27/1904,,See Manhattan CBD Transfer: Canal St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Spring St,Lexington Ave Line (CBD),10/27/1904,,,2004908,1956290,1945545,1847819,1850366,1789928,1676407,1675707,1642590,1563310,1393484,1275244,1225573,1174292,1066292,992812,974148,1004852,1072572,1128099,1118774,1130762,1077327,1094038,1118750,1161274,1274315,1422579,1541074,1500666,1417286,1339060,1390788,1431385,1554528,1604058,1686606,1826490
MA,Bleecker St,Lexington Ave Line (CBD),10/27/1904,,See Manhattan CBD Transfer: Broadway-Lafayette St/Bleecker St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Astor Place,Lexington Ave Line (CBD),10/27/1904,,,3818984,3829941,3980172,3927607,4089488,4142175,4049092,4452770,4684771,4850872,4350969,3882299,3528212,3318035,3194861,2926324,2714628,2724382,2907214,3059350,3042813,3245574,3226375,3267377,3329373,3475386,3656637,4399663,4770267,4904432,4718588,4288018,4274948,4374010,4467419,4309169,4258935,4389635
MA,14 St-Union Square,Lexington Ave Line (CBD),10/27/1904,,See Manhattan CBD Transfer: 14 St-Union Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,18 St,Lexington Ave Line (CBD),10/27/1904,11/8/1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
